month,Mkt,SMB,HML,RF
Jan 2000,-4.33,5.77,-1.88,0.41
Feb 2000,2.88,21.36,-9.59,0.43
Mar 2000,5.67,-17.2,8.13,0.47
Apr 2000,-5.94,-6.68,7.26,0.46
May 2000,-3.92,-6.05,4.75,0.5
Jun 2000,5.04,12.84,-8.42,0.4
Jul 2000,-2.03,-3.07,8.31,0.48
Aug 2000,7.53,-0.61,-1.39,0.5
Sep 2000,-4.94,-1.82,7.17,0.51
Oct 2000,-2.2,-3.88,5.71,0.56
Nov 2000,-10.21,-3.41,12.3,0.51
Dec 2000,1.69,0.73,7.61,0.5
Jan 2001,3.67,6.68,-5.07,0.54
Feb 2001,-9.67,-0.78,12.47,0.38
Mar 2001,-6.84,0.25,6.42,0.42
Apr 2001,8.33,0.55,-4.67,0.39
May 2001,1.04,2.5,3.36,0.32
Jun 2001,-1.66,6.24,-1.12,0.28
Jul 2001,-1.83,-4.19,5.21,0.3
Aug 2001,-6.15,2.48,2.31,0.31
Sep 2001,-8.97,-6.23,1.45,0.28
Oct 2001,2.68,7.48,-7.65,0.22
Nov 2001,7.71,-0.47,2.21,0.17
Dec 2001,1.75,4.74,0.84,0.15
Jan 2002,-1.3,1.19,3.44,0.14
Feb 2002,-2.16,-1.01,2.16,0.13
Mar 2002,4.37,4.21,1.06,0.13
Apr 2002,-5.05,5.96,3.88,0.15
May 2002,-1.24,-3.21,1.53,0.14
Jun 2002,-7.08,4.29,-0.05,0.13
Jul 2002,-8.03,-5.28,-3.85,0.15
Aug 2002,0.64,-2.86,3.28,0.14
Sep 2002,-10.21,2.41,1.45,0.14
Oct 2002,7.98,-3.42,-3.94,0.14
Nov 2002,6.08,3.19,-1.26,0.12
Dec 2002,-5.65,0.08,2.14,0.11
Jan 2003,-2.47,1.32,-0.81,0.1
Feb 2003,-1.79,-0.46,-1.37,0.09
Mar 2003,1.19,1.02,-1.94,0.1
Apr 2003,8.32,0.62,1.15,0.1
May 2003,6.14,4.67,0.39,0.09
Jun 2003,1.52,1.74,0.11,0.1
Jul 2003,2.42,5.06,-1.24,0.07
Aug 2003,2.41,2.59,1.53,0.07
Sep 2003,-1.16,0.79,0.17,0.08
Oct 2003,6.15,2.69,1.97,0.07
Nov 2003,1.42,2.08,1.78,0.07
Dec 2003,4.37,-2.67,1.6,0.08
Jan 2004,2.22,2.55,2.49,0.07
Feb 2004,1.46,-1.57,0.88,0.06
Mar 2004,-1.23,1.72,0.27,0.09
Apr 2004,-1.75,-1.7,-3.07,0.08
May 2004,1.23,-0.2,-0.25,0.06
Jun 2004,1.94,2.26,1.18,0.08
Jul 2004,-3.96,-3.82,3.24,0.1
Aug 2004,0.19,-1.48,0.97,0.11
Sep 2004,1.71,3.01,0,0.11
Oct 2004,1.54,0.15,-0.22,0.11
Nov 2004,4.69,3.74,1.41,0.15
Dec 2004,3.59,-0.03,-0.22,0.16
Jan 2005,-2.6,-1.72,2.06,0.16
Feb 2005,2.05,-0.57,1.54,0.16
Mar 2005,-1.76,-1.4,2.04,0.21
Apr 2005,-2.4,-3.94,0.07,0.21
May 2005,3.89,2.88,-0.64,0.24
Jun 2005,0.8,2.58,2.83,0.23
Jul 2005,4.16,2.91,-0.79,0.24
Aug 2005,-0.92,-0.97,1.32,0.3
Sep 2005,0.78,-0.65,0.71,0.29
Oct 2005,-1.75,-1.25,0.42,0.27
Nov 2005,3.92,1,-1.16,0.31
Dec 2005,0.07,-0.42,0.2,0.32
Jan 2006,3.39,5.4,1.08,0.35
Feb 2006,0.04,-0.38,-0.34,0.34
Mar 2006,1.83,3.44,0.6,0.37
Apr 2006,1.09,-1.42,2.34,0.36
May 2006,-3.14,-2.96,2.41,0.43
Jun 2006,0.05,-0.39,0.85,0.4
Jul 2006,-0.38,-3.98,2.6,0.4
Aug 2006,2.45,1.03,-2.06,0.42
Sep 2006,2.25,-1.36,0.08,0.41
Oct 2006,3.64,1.75,-0.31,0.41
Nov 2006,2.13,0.7,0.14,0.42
Dec 2006,1.27,-1.15,2.73,0.4
Jan 2007,1.84,0.12,-0.68,0.44
Feb 2007,-1.58,1.19,-0.14,0.38
Mar 2007,1.11,0.16,-0.97,0.43
